company_id,type,rule_id,text,confidence_pct
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.19,63.759280355108615
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.18,63.55704477513879
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.15,62.923889911766814
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.18,63.544911762761906
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 9.74,100.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 6.75,100.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 7.82,100.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 7.06,100.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 17.49,100.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 59.43,100.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 6.09,100.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 8.52,100.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 4.01,100.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 2.66,93.25350815408788
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C1,High Debt-to-Equity ratio of 1.42,68.35051546391753
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPOWER,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPOWER,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
AMBUJACEM,Pro,P0,Stable market position within Nifty 100.,61.0
AMBUJACEM,Con,C2,Sub-par Return on Equity (< 8%).,75.0
